epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.5073,2.08705,6.14996,1.13187,0.00068,0.00349,0.00194,0.00155,1.19573,5.89451,0.93348,1e-05,1e-05,1e-05
2,9.79998,1.55625,5.97599,1.01069,0.34188,0.00436,0.00789,0.0068,1.2718,5.51899,0.88421,2.02971e-05,2.02971e-05,2.02971e-05
3,13.1148,1.32608,5.81613,0.97487,0.00198,0.01837,0.00534,0.00417,1.27908,5.36711,0.87743,3.03862e-05,3.03862e-05,3.03862e-05
4,16.2251,1.30746,5.64512,0.94757,0.00343,0.02334,0.00642,0.00489,1.20762,5.25845,0.87264,4.02675e-05,4.02675e-05,4.02675e-05
5,19.4066,1.26842,5.49583,0.92416,0.00599,0.02244,0.01106,0.00908,1.05983,4.9862,0.86165,4.802e-05,4.802e-05,4.802e-05
6,22.6897,1.2473,5.33569,0.91969,0.00922,0.0281,0.01377,0.01161,1.04287,4.86931,0.85977,4.7525e-05,4.7525e-05,4.7525e-05
7,26.0628,1.23348,5.20315,0.9088,0.03314,0.05308,0.03668,0.03303,1.02753,4.73438,0.86015,4.703e-05,4.703e-05,4.703e-05
8,29.3845,1.20568,5.05341,0.90758,0.04269,0.0891,0.06607,0.05941,1.01561,4.49179,0.86674,4.6535e-05,4.6535e-05,4.6535e-05
9,32.6761,1.18638,4.89999,0.89632,0.05094,0.10631,0.08413,0.07462,1.00492,4.37543,0.86978,4.604e-05,4.604e-05,4.604e-05
10,35.9872,1.20781,4.79129,0.8953,0.05117,0.13012,0.09669,0.08549,0.98817,4.22957,0.86974,4.5545e-05,4.5545e-05,4.5545e-05
11,39.3072,1.15398,4.58618,0.89071,0.18738,0.1204,0.11438,0.1018,0.9654,3.94113,0.8682,4.505e-05,4.505e-05,4.505e-05
12,42.6243,1.1496,4.42396,0.88494,0.24086,0.11805,0.12443,0.10992,0.94436,3.80478,0.86574,4.4555e-05,4.4555e-05,4.4555e-05
13,45.953,1.11249,4.29432,0.88989,0.25033,0.12305,0.15078,0.13268,0.92922,3.68954,0.86293,4.406e-05,4.406e-05,4.406e-05
14,49.3064,1.15537,4.16724,0.87417,0.25249,0.16618,0.18615,0.16248,0.89155,3.46725,0.85969,4.3565e-05,4.3565e-05,4.3565e-05
15,52.6103,1.07582,3.95576,0.87616,0.31504,0.17068,0.20196,0.1758,0.87754,3.36629,0.85927,4.307e-05,4.307e-05,4.307e-05
16,55.9681,1.13523,3.96711,0.87303,0.40269,0.16825,0.23252,0.20256,0.86644,3.23543,0.85608,4.2575e-05,4.2575e-05,4.2575e-05
17,59.2937,1.09174,3.78382,0.87002,0.42141,0.16479,0.24806,0.2174,0.85996,3.1313,0.85586,4.208e-05,4.208e-05,4.208e-05
18,62.5574,1.03828,3.56348,0.86584,0.35957,0.2308,0.27724,0.24066,0.83578,2.93306,0.85312,4.1585e-05,4.1585e-05,4.1585e-05
19,65.9529,1.09983,3.55276,0.8642,0.38909,0.25184,0.29851,0.26006,0.82634,2.85216,0.853,4.109e-05,4.109e-05,4.109e-05
20,69.406,1.02594,3.3065,0.86185,0.40603,0.27616,0.32543,0.28386,0.81365,2.74439,0.84978,4.0595e-05,4.0595e-05,4.0595e-05
21,72.7668,1.06097,3.30003,0.85981,0.40338,0.31399,0.36571,0.31907,0.79262,2.55853,0.84553,4.01e-05,4.01e-05,4.01e-05
22,76.079,0.97615,2.98535,0.85699,0.41589,0.33196,0.39047,0.34226,0.78113,2.44664,0.84234,3.9605e-05,3.9605e-05,3.9605e-05
23,79.4432,1.02609,2.98474,0.85377,0.46457,0.34861,0.41893,0.36623,0.77463,2.35942,0.84137,3.911e-05,3.911e-05,3.911e-05
24,82.8123,1.00395,2.87899,0.85237,0.49358,0.39894,0.45745,0.39992,0.76957,2.19608,0.84173,3.8615e-05,3.8615e-05,3.8615e-05
25,86.2028,0.987,2.68689,0.85241,0.51348,0.41024,0.47741,0.41585,0.76023,2.09157,0.83934,3.812e-05,3.812e-05,3.812e-05
26,89.5778,0.9865,2.62434,0.84673,0.48797,0.44351,0.49537,0.42879,0.74823,2.01553,0.83787,3.7625e-05,3.7625e-05,3.7625e-05
27,92.9029,0.94581,2.51125,0.85053,0.49816,0.49032,0.52108,0.45181,0.73593,1.90063,0.83844,3.713e-05,3.713e-05,3.713e-05
28,96.2634,0.98927,2.47108,0.84707,0.53641,0.50811,0.53597,0.46567,0.72574,1.82002,0.83659,3.6635e-05,3.6635e-05,3.6635e-05
29,99.6689,0.96494,2.35332,0.84568,0.58543,0.51474,0.55975,0.48401,0.72359,1.74463,0.83526,3.614e-05,3.614e-05,3.614e-05
30,103.087,0.91671,2.14523,0.84158,0.63013,0.52207,0.60527,0.5239,0.71683,1.64368,0.83716,3.5645e-05,3.5645e-05,3.5645e-05
31,106.453,0.91615,2.07542,0.84597,0.62283,0.54647,0.62831,0.54493,0.70397,1.57908,0.83601,3.515e-05,3.515e-05,3.515e-05
32,109.821,0.90387,2.01288,0.84121,0.64729,0.56739,0.65365,0.56638,0.69316,1.50339,0.8341,3.4655e-05,3.4655e-05,3.4655e-05
33,113.197,0.93725,1.98783,0.84024,0.64389,0.5966,0.67261,0.58084,0.68566,1.42999,0.8323,3.416e-05,3.416e-05,3.416e-05
34,116.584,0.871,1.77402,0.84163,0.69663,0.64644,0.70743,0.60679,0.67751,1.31315,0.82981,3.3665e-05,3.3665e-05,3.3665e-05
35,119.958,0.88969,1.79113,0.83728,0.70727,0.65682,0.72813,0.62366,0.67256,1.25912,0.82896,3.317e-05,3.317e-05,3.317e-05
36,123.363,0.87518,1.72596,0.83526,0.73366,0.66991,0.74726,0.64218,0.66909,1.21414,0.82843,3.2675e-05,3.2675e-05,3.2675e-05
37,126.795,0.88996,1.64948,0.8325,0.72414,0.72305,0.79072,0.68287,0.65424,1.14359,0.82741,3.218e-05,3.218e-05,3.218e-05
38,130.181,0.84919,1.52565,0.83683,0.73541,0.7398,0.80576,0.69583,0.639,1.09089,0.82604,3.1685e-05,3.1685e-05,3.1685e-05
39,133.574,0.85575,1.48783,0.83299,0.75342,0.75731,0.81379,0.7032,0.63645,1.05325,0.82528,3.119e-05,3.119e-05,3.119e-05
40,136.966,0.84531,1.44761,0.8336,0.80265,0.76975,0.83299,0.72067,0.63218,0.99742,0.82565,3.0695e-05,3.0695e-05,3.0695e-05
41,140.375,0.85092,1.43045,0.83518,0.8134,0.77439,0.84334,0.73258,0.62743,0.97091,0.82527,3.02e-05,3.02e-05,3.02e-05
42,143.699,0.81904,1.32209,0.83221,0.82702,0.77857,0.85512,0.74155,0.62512,0.93615,0.82433,2.9705e-05,2.9705e-05,2.9705e-05
43,147.102,0.82129,1.31039,0.83242,0.81491,0.81333,0.86548,0.75091,0.60966,0.86902,0.82175,2.921e-05,2.921e-05,2.921e-05
44,150.467,0.83642,1.28887,0.83069,0.83923,0.81979,0.88366,0.76729,0.60264,0.84368,0.82168,2.8715e-05,2.8715e-05,2.8715e-05
45,153.828,0.79519,1.194,0.82802,0.84402,0.83016,0.88767,0.76828,0.60318,0.82505,0.82241,2.822e-05,2.822e-05,2.822e-05
46,157.249,0.81966,1.19397,0.83143,0.85761,0.86157,0.9076,0.78202,0.60237,0.7854,0.82148,2.7725e-05,2.7725e-05,2.7725e-05
47,160.63,0.83822,1.20873,0.82786,0.86519,0.86422,0.9109,0.78519,0.59577,0.76351,0.82053,2.723e-05,2.723e-05,2.723e-05
48,164.012,0.80601,1.12161,0.82544,0.85743,0.86964,0.91148,0.78796,0.59025,0.74693,0.82042,2.6735e-05,2.6735e-05,2.6735e-05
49,167.39,0.79602,1.11607,0.82545,0.86037,0.87612,0.91634,0.79321,0.58819,0.73246,0.82076,2.624e-05,2.624e-05,2.624e-05
50,170.815,0.8001,1.09645,0.82436,0.87924,0.88891,0.93067,0.80639,0.58252,0.70201,0.81934,2.5745e-05,2.5745e-05,2.5745e-05
51,174.237,0.79392,1.04739,0.82479,0.88829,0.8935,0.93558,0.81156,0.57912,0.69073,0.8197,2.525e-05,2.525e-05,2.525e-05
52,177.735,0.7583,1.00012,0.82484,0.88879,0.90082,0.93964,0.81451,0.57636,0.67693,0.81922,2.4755e-05,2.4755e-05,2.4755e-05
53,181.126,0.77764,0.992,0.82622,0.91104,0.89527,0.94553,0.82089,0.5674,0.64954,0.81818,2.426e-05,2.426e-05,2.426e-05
54,184.48,0.74603,0.92676,0.823,0.91659,0.89317,0.94599,0.81972,0.56619,0.64208,0.81807,2.3765e-05,2.3765e-05,2.3765e-05
55,187.657,0.75219,0.92055,0.82503,0.92182,0.89302,0.94937,0.82442,0.56441,0.62844,0.81755,2.327e-05,2.327e-05,2.327e-05
56,191.032,0.74861,0.92256,0.82311,0.91911,0.90058,0.95704,0.83306,0.56074,0.61173,0.81664,2.2775e-05,2.2775e-05,2.2775e-05
57,194.452,0.76629,0.94417,0.82589,0.91517,0.90201,0.95421,0.83364,0.55986,0.60898,0.81691,2.228e-05,2.228e-05,2.228e-05
58,197.863,0.78217,0.97333,0.82502,0.90956,0.90741,0.95496,0.83464,0.55836,0.60225,0.81713,2.1785e-05,2.1785e-05,2.1785e-05
59,201.274,0.75873,0.89465,0.82351,0.9068,0.9207,0.96353,0.84512,0.54719,0.58358,0.81617,2.129e-05,2.129e-05,2.129e-05
60,204.643,0.73276,0.85431,0.82471,0.91402,0.9182,0.96696,0.84639,0.54451,0.57927,0.81587,2.0795e-05,2.0795e-05,2.0795e-05
61,208.012,0.7342,0.83807,0.82265,0.91542,0.91826,0.96829,0.84575,0.54492,0.57844,0.81708,2.03e-05,2.03e-05,2.03e-05
62,211.229,0.72278,0.81266,0.82327,0.93505,0.91953,0.97138,0.84552,0.54759,0.56268,0.81577,1.9805e-05,1.9805e-05,1.9805e-05
63,214.448,0.74003,0.85266,0.82071,0.93757,0.9203,0.97182,0.84787,0.54702,0.5588,0.81595,1.931e-05,1.931e-05,1.931e-05
64,217.811,0.69552,0.7571,0.81802,0.94305,0.92043,0.97213,0.85136,0.54074,0.54998,0.81543,1.8815e-05,1.8815e-05,1.8815e-05
65,221.166,0.72213,0.78295,0.82303,0.94452,0.9229,0.973,0.85544,0.53406,0.54141,0.81456,1.832e-05,1.832e-05,1.832e-05
66,224.517,0.68523,0.73537,0.82219,0.94833,0.92191,0.97346,0.85591,0.53226,0.52882,0.81281,1.7825e-05,1.7825e-05,1.7825e-05
67,227.878,0.72699,0.81773,0.82129,0.90808,0.94704,0.97397,0.85671,0.53292,0.52573,0.81289,1.733e-05,1.733e-05,1.733e-05
68,231.274,0.72327,0.81138,0.82134,0.90797,0.95189,0.97348,0.85529,0.53415,0.52488,0.81351,1.6835e-05,1.6835e-05,1.6835e-05
69,234.486,0.70036,0.76152,0.82029,0.9175,0.95204,0.97335,0.85228,0.53987,0.51853,0.81446,1.634e-05,1.634e-05,1.634e-05
70,237.674,0.69024,0.7417,0.81935,0.92242,0.95421,0.97328,0.85496,0.53672,0.51072,0.81266,1.5845e-05,1.5845e-05,1.5845e-05
71,240.914,0.73808,0.81789,0.81991,0.92336,0.95435,0.97339,0.85556,0.52697,0.50709,0.81257,1.535e-05,1.535e-05,1.535e-05
72,244.105,0.69781,0.74621,0.82012,0.9402,0.94494,0.97783,0.86214,0.52005,0.50025,0.81182,1.4855e-05,1.4855e-05,1.4855e-05
73,247.497,0.69474,0.73497,0.81568,0.93119,0.95263,0.97782,0.86196,0.52014,0.49769,0.81192,1.436e-05,1.436e-05,1.436e-05
74,250.72,0.72969,0.78907,0.81981,0.93346,0.95137,0.97729,0.86191,0.51925,0.49719,0.81266,1.3865e-05,1.3865e-05,1.3865e-05
75,253.938,0.70339,0.75052,0.8243,0.94332,0.94823,0.97617,0.8601,0.52069,0.49056,0.81267,1.337e-05,1.337e-05,1.337e-05
76,257.151,0.71844,0.77973,0.82098,0.93659,0.95266,0.97581,0.85905,0.51854,0.49166,0.81348,1.2875e-05,1.2875e-05,1.2875e-05
77,260.36,0.71645,0.7673,0.81887,0.93289,0.95562,0.97672,0.86372,0.51507,0.48886,0.81299,1.238e-05,1.238e-05,1.238e-05
78,263.795,0.71259,0.7529,0.82049,0.93735,0.95559,0.97757,0.86541,0.51335,0.48507,0.81277,1.1885e-05,1.1885e-05,1.1885e-05
79,267.196,0.69421,0.74026,0.8189,0.93674,0.9561,0.9784,0.86718,0.51248,0.48293,0.81303,1.139e-05,1.139e-05,1.139e-05
80,270.558,0.68566,0.69438,0.81586,0.93769,0.95448,0.97903,0.86696,0.51235,0.47959,0.81321,1.0895e-05,1.0895e-05,1.0895e-05
81,273.768,0.72843,0.77516,0.81964,0.94028,0.95418,0.97969,0.86736,0.51078,0.47417,0.81244,1.04e-05,1.04e-05,1.04e-05
82,277.218,0.69068,0.70053,0.81815,0.94903,0.95074,0.97952,0.86852,0.50629,0.47044,0.81218,9.905e-06,9.905e-06,9.905e-06
83,280.568,0.7291,0.76454,0.82216,0.94757,0.95109,0.97927,0.86739,0.50427,0.47063,0.81263,9.41e-06,9.41e-06,9.41e-06
84,284.115,0.67689,0.69259,0.81789,0.94961,0.95109,0.97965,0.86971,0.50521,0.46829,0.81253,8.915e-06,8.915e-06,8.915e-06
85,287.511,0.68822,0.68268,0.81694,0.95535,0.94894,0.9799,0.87003,0.50265,0.46287,0.81249,8.42e-06,8.42e-06,8.42e-06
86,290.885,0.67329,0.6674,0.81816,0.94477,0.95714,0.98065,0.87022,0.50179,0.4569,0.81136,7.925e-06,7.925e-06,7.925e-06
87,294.266,0.67553,0.67067,0.81661,0.9447,0.95796,0.98092,0.86902,0.50303,0.45604,0.81171,7.43e-06,7.43e-06,7.43e-06
88,297.509,0.6783,0.67885,0.81896,0.94562,0.95722,0.98069,0.86796,0.50513,0.45815,0.81249,6.935e-06,6.935e-06,6.935e-06
89,300.714,0.659,0.65813,0.81733,0.94563,0.95731,0.98127,0.86802,0.50557,0.45402,0.81248,6.44e-06,6.44e-06,6.44e-06
90,303.866,0.66997,0.66351,0.8208,0.94668,0.95837,0.98141,0.86989,0.50554,0.45241,0.81249,5.945e-06,5.945e-06,5.945e-06
91,307.937,0.63018,0.58812,0.8212,0.95099,0.95682,0.98191,0.86854,0.50952,0.45035,0.81203,5.45e-06,5.45e-06,5.45e-06
92,311.094,0.65533,0.63229,0.81957,0.9507,0.95734,0.9828,0.8684,0.51163,0.44964,0.81143,4.955e-06,4.955e-06,4.955e-06
93,314.154,0.64161,0.60242,0.81474,0.95023,0.9581,0.98316,0.8679,0.51155,0.44915,0.81034,4.46e-06,4.46e-06,4.46e-06
94,317.231,0.63261,0.59543,0.81676,0.95082,0.95759,0.98295,0.86748,0.51517,0.45003,0.81038,3.965e-06,3.965e-06,3.965e-06
95,320.405,0.62402,0.59406,0.81743,0.94898,0.95742,0.98312,0.86748,0.51337,0.45122,0.81082,3.47e-06,3.47e-06,3.47e-06
96,323.429,0.67686,0.62534,0.80918,0.94469,0.96283,0.98392,0.86711,0.51543,0.44836,0.80849,2.975e-06,2.975e-06,2.975e-06
97,326.49,0.62553,0.59286,0.81474,0.9447,0.96262,0.98512,0.86826,0.51692,0.44791,0.80848,2.48e-06,2.48e-06,2.48e-06
98,329.543,0.64261,0.59004,0.81081,0.94445,0.9628,0.98292,0.86835,0.5153,0.4456,0.80882,1.985e-06,1.985e-06,1.985e-06
99,332.589,0.63036,0.57781,0.81374,0.94256,0.96514,0.98437,0.86903,0.51491,0.44508,0.80894,1.49e-06,1.49e-06,1.49e-06
100,335.629,0.64783,0.61428,0.81564,0.94398,0.96494,0.98432,0.86802,0.51509,0.44414,0.80829,9.95e-07,9.95e-07,9.95e-07
